classifier,accuracy,precision,recall,F measure,type
SVC,76.17%,78.02%,72.87%,75.36%,train
SVC,76.53%,64.56%,70.0%,67.17%,validation
KNeighborsClassifier,100.0%,100.0%,100.0%,100.0%,train
KNeighborsClassifier,98.74%,99.46%,96.84%,98.13%,validation
LogisticRegression,75.69%,76.87%,73.48%,75.14%,train
LogisticRegression,75.99%,62.9%,73.16%,67.64%,validation
GaussianNB,73.79%,76.31%,69.01%,72.48%,train
GaussianNB,75.99%,63.51%,70.53%,66.83%,validation
RandomForestClassifier,100.0%,100.0%,100.0%,100.0%,train
RandomForestClassifier,99.64%,99.47%,99.47%,99.47%,validation
