classifier,accuracy,precision,recall,F measure,type
SVC,76.0%,77.1%,73.97%,75.5%,train
SVC,75.81%,62.84%,72.11%,67.16%,validation
KNeighborsClassifier,100.0%,100.0%,100.0%,100.0%,train
KNeighborsClassifier,99.46%,99.47%,98.95%,99.21%,validation
LogisticRegression,76.0%,76.95%,74.24%,75.57%,train
LogisticRegression,74.73%,61.79%,68.95%,65.17%,validation
GaussianNB,74.59%,77.0%,70.11%,73.4%,train
GaussianNB,77.26%,65.09%,72.63%,68.66%,validation
RandomForestClassifier,100.0%,100.0%,100.0%,100.0%,train
RandomForestClassifier,99.64%,99.47%,99.47%,99.47%,validation
