classifier,accuracy,precision,recall,F measure,type
SVC,76.48%,77.41%,74.79%,76.08%,train
SVC,75.99%,63.13%,72.11%,67.32%,validation
KNeighborsClassifier,100.0%,100.0%,100.0%,100.0%,train
KNeighborsClassifier,99.64%,99.47%,99.47%,99.47%,validation
LogisticRegression,76.34%,77.26%,74.66%,75.94%,train
LogisticRegression,75.45%,62.98%,68.95%,65.83%,validation
GaussianNB,74.72%,76.51%,71.35%,73.84%,train
GaussianNB,77.08%,64.38%,74.21%,68.95%,validation
RandomForestClassifier,100.0%,100.0%,100.0%,100.0%,train
RandomForestClassifier,99.64%,99.47%,99.47%,99.47%,validation
